name,rating
Bellasen Bistro,2.8
Atithi,4.1
Meridian Chimney,3.0
Lithosphere,4.6
The House of Makeba,4.2
Xia Rooftop Bistro,4.5
Under The Neem Trees,4.6
Shararat Restaurant & Rooftop Cafe,3.9
Muse,4.1
Ame Gujarati,4.1
Olives Restaurant,4.0
Street Chinese & Momos,4.2
Saffron Restaurant,4.1
Kovallam Restaurant,4.4
Gwalia Sweets,4.1
Jai Hind Sweets,4.1
Anurag Purohit Namkeen & Sweets,4.1
Ristretto Behind The Rods,4.3
Zen Cafe,4.3
Cafe Mocha,4.3
Mehmaan,4.1
Tent Rooftop Restro & Cafe,4.4
Dasa Prakash,4.0
Gunjan Garden Restaurant,3.7
The Eatery,4.1
Pakvan,4.1
Ambrosia Restaurant,4.2
Aadhar,4.0
Dakshinayan,4.3
650 - The Global Kitchen,4.3
Fayrouz,4.2
